times, le, le_qc, le_unc, h, h_qc, h_unc, g, g_qc, sm1, sm1_qc, nee, nee_qc, gpp, gpp_se
2.010012500000000000e+07,4.832630000000000337e+01,1.000000000000000000e+00,2.873780000000000001e+00,3.874139999999999873e+01,1.000000000000000000e+00,3.369330000000000158e+00,-2.408329999999999860e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.644570000000000531e-01,1.000000000000000000e+00,1.039690000000000059e-02,7.940739999999999734e-04
2.010012600000000000e+07,1.915180000000000149e+01,1.000000000000000000e+00,2.313130000000000130e+00,2.133800000000000097e+01,1.000000000000000000e+00,2.721960000000000157e+00,-3.387500000000000178e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,4.845450000000000035e-01,1.000000000000000000e+00,4.888589999999999949e-03,3.752180000000000250e-04
2.010012700000000000e+07,1.404589999999999961e+01,1.000000000000000000e+00,2.447610000000000063e+00,2.894039999999999946e+00,1.000000000000000000e+00,2.769620000000000193e+00,-3.350000000000000089e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,6.976740000000000164e-01,1.000000000000000000e+00,0.000000000000000000e+00,5.215130000000000330e-04
2.010012800000000000e+07,1.112599999999999945e+01,1.000000000000000000e+00,1.380409999999999915e+00,1.281859999999999999e+01,1.000000000000000000e+00,2.282719999999999860e+00,-5.150000000000000355e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,5.963079999999999492e-01,8.333329999999999904e-01,0.000000000000000000e+00,1.664319999999999949e-03
2.010012900000000000e+07,1.181910000000000061e+01,1.000000000000000000e+00,1.449559999999999960e+00,1.840940000000000154e+01,1.000000000000000000e+00,2.499060000000000059e+00,-4.750000000000000000e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,5.254039999999999822e-01,7.916670000000000096e-01,0.000000000000000000e+00,2.278060000000000154e-03
2.010013000000000000e+07,9.873100000000000875e+00,1.000000000000000000e+00,1.874470000000000081e+00,1.223889999999999922e+01,1.000000000000000000e+00,2.692489999999999828e+00,-3.250000000000000000e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,5.210270000000000179e-01,9.166670000000000096e-01,0.000000000000000000e+00,2.349149999999999936e-03
2.010013100000000000e+07,1.323000000000000043e+01,1.000000000000000000e+00,2.464510000000000201e+00,1.278599999999999959e+01,1.000000000000000000e+00,3.038149999999999906e+00,-6.029169999999999696e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,5.081130000000000368e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.546019999999999967e-03
2.010020100000000000e+07,6.846680000000000099e+00,1.000000000000000000e+00,1.552580000000000071e+00,2.342789999999999928e+00,1.000000000000000000e+00,1.853660000000000085e+00,-4.387500000000000178e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.092979999999999619e-01,9.583329999999999904e-01,0.000000000000000000e+00,6.398969999999999485e-04
2.010020200000000000e+07,8.627280000000000726e+00,1.000000000000000000e+00,1.248769999999999936e+00,1.243560000000000088e+01,1.000000000000000000e+00,2.421679999999999833e+00,-7.858329999999999593e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,4.684490000000000043e-01,9.583329999999999904e-01,0.000000000000000000e+00,2.314420000000000192e-03
2.010020300000000000e+07,8.762499999999999289e+00,9.166670000000000096e-01,1.096819999999999906e+00,-3.490790000000000060e+00,9.166670000000000096e-01,1.912379999999999969e+00,-5.658330000000000304e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,6.811949999999999950e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.402089999999999975e-03
